Price,Close,High,Low,Open,Volume
Ticker,AAPL,AAPL,AAPL,AAPL,AAPL
Date,,,,,
2025-01-02,242.75210571289062,247.97846832553566,240.73124671787497,247.80922035937212,55740700
2025-01-03,242.26429748535156,243.08059762167903,240.80091479245596,242.26429748535156,40244100
2025-01-06,243.89691162109375,246.21642284830082,242.10501290585998,243.2100158477468,45045600
2025-01-07,241.11949157714844,244.44445006993732,240.2633629937866,241.8860138278822,40856000
2025-01-08,241.6072540283203,242.61271628247306,238.96919157849698,240.83076714912374,37628900
2025-01-10,235.7836151123047,239.0787097724967,231.95094323601768,238.9293760168756,61710900
2025-01-13,233.34463500976562,233.61342361918983,228.68571346021633,232.47855694506205,49630700
2025-01-14,232.22967529296875,235.05688478727922,231.4233246799516,233.69305795736565,39435300
2025-01-15,236.7989959716797,237.88409983929475,233.37448198930954,233.58354315722423,39832000
2025-01-16,227.2322998046875,236.93840239126823,227.00333958663936,236.2813854529523,71759100
2025-01-17,228.94451904296875,231.2441159203825,227.45127273918456,231.0748831620974,68488300
2025-01-21,221.63758850097656,223.40957304130882,218.39227174297113,222.99146586562136,98070400
2025-01-22,222.8222198486328,223.11090745632038,218.80040121474653,218.80040121474653,64126500
2025-01-23,222.6529998779297,226.00782197454978,221.29912251598503,223.72813912330528,60234800
2025-01-24,221.77694702148438,224.614121166801,220.4131202139208,223.76794215782238,54697900
2025-01-27,228.8250732421875,231.10475600574816,222.9715426392062,223.01137104866308,94863400
2025-01-28,237.18727111816406,239.10858953414348,229.7708164605127,229.81064487405342,75707600
2025-01-29,238.28231811523438,238.78006694024197,232.95639961161774,233.06590496072297,45486100
2025-01-30,236.520263671875,239.70585285329432,236.14198492507634,237.59540286874542,55658300
